Min height,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max height,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Use same values for Full/Partial Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Histograms (32 bins),Female,3,5,12,24,44,101,163,260,404,549,693,869,1076,1013,951,823,695,494,299,217,110,58,20,12,5,0,0,0,0,0,0,0
,Male,0,0,0,0,0,0,0,0,1,10,14,53,117,241,369,500,700,787,849,882,873,779,610,432,274,155,83,38,24,5,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Means,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard deviations,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample size,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query (inches),55,60,65,70,75,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Histogram result*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayesian result*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Given as probability of ""Female""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
